id,product_name,product_description,product_cost,product_inventory,product_image,product_rating,farm_id
1,Rice Paper,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",$20.97,100,http://dummyimage.com/179x100.png/ff4444/ffffff,4,32
2,General Purpose Trigger,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",$15.05,28,http://dummyimage.com/200x100.png/ff4444/ffffff,4,82
3,Towel Multifold,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",$9.29,28,http://dummyimage.com/142x100.png/ff4444/ffffff,2,58
4,"Coffee - Colombian, Portioned","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",$4.62,67,http://dummyimage.com/211x100.png/ff4444/ffffff,2,3
5,Chocolate - Chips Compound,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,$28.63,98,http://dummyimage.com/189x100.png/ff4444/ffffff,5,14
6,Contreau,Fusce consequat. Nulla nisl. Nunc nisl.,$7.30,70,http://dummyimage.com/122x100.png/cc0000/ffffff,1,70
7,"Beef - Tenderlion, Center Cut","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",$12.15,30,http://dummyimage.com/219x100.png/ff4444/ffffff,1,48
8,Table Cloth 54x72 White,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,$26.51,10,http://dummyimage.com/212x100.png/cc0000/ffffff,4,48
9,Sproutsmustard Cress,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",$25.27,99,http://dummyimage.com/214x100.png/dddddd/000000,1,81
10,Basil - Thai,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,$19.48,39,http://dummyimage.com/145x100.png/dddddd/000000,1,1
